frame,left_knee_angle,right_knee_angle,steps
48,80.88216776582522,130.19070283405745,0
78,130.40499329135395,173.4758012224466,0
81,178.92638039079614,169.74185701990223,0
84,179.46863117507363,176.80953935489217,0
87,159.85555534229107,175.53603362775132,0
90,163.95738109220642,172.78980030085933,0
93,156.0395617202257,178.54519915631212,0
96,175.29166527939572,159.36430495208475,0
99,179.92900289208401,167.7078452857808,0
102,176.09212786808953,175.6808500332369,0
105,131.00938353777806,177.79867780013632,0
108,175.50194053303753,176.3279765448986,0
111,176.22333385202856,175.47528062947939,0
114,179.6068485432259,174.61341666016966,0
117,172.26506713625972,168.65273463197582,0
120,179.8973883709467,166.26928450253132,0
123,159.43499227469542,171.62010243122296,0
126,163.06063842747082,172.6443158639389,0
129,171.4201817670123,169.19471845662926,0
132,162.76610262721914,169.68017902899683,0
135,164.51570513119978,176.36535332874575,0
138,173.63830827359163,167.90475698472557,0
141,179.3201658431552,170.06681085269983,0
144,174.9050472872681,176.43450901786085,0
147,178.99471695566976,175.2783295125069,0
150,167.14062246280258,151.33781770144353,0
153,168.9007491342404,178.65161171714067,0
156,178.3629371407271,174.8360957370877,0
159,175.78896193302967,179.85015438268562,0
162,172.34019400423182,179.37087982247465,0
165,164.31364363855644,172.2126187135896,0
168,168.70407505059006,166.53717361920187,0
171,170.5099355885661,175.033308606362,0
174,178.31516513980787,157.00370756191143,0
177,155.75326449466272,156.58206855829323,0
180,142.0845563212606,165.25494441024549,0
183,160.01069288967142,172.5182741022827,0
186,155.4400758909731,174.43037442131245,0
189,163.5861446692581,175.08405480125697,0
192,157.30279258294482,170.53465739992976,0
195,148.78530305765946,169.7181176074322,0
198,160.13458631685515,168.83114748757598,0
201,170.50512740788463,146.2515988257039,1
204,171.29430088355235,136.80528001481022,1
207,178.20185762345616,128.59213647586813,1
210,179.7722207148798,161.02829334045046,1
213,172.77280992076646,174.0856170715973,1
216,172.73026227636169,138.13264501895014,2
219,70.59549095743513,177.9668825967281,2
222,178.66188359031094,161.97887380877566,2
225,174.77808063214223,172.21841299775167,2
228,179.73507869253137,172.70186985683577,2
231,179.97079276682481,170.7476184194163,2
234,164.03289285533432,173.51647051896848,2
237,166.62382349024037,168.7548297247521,2
240,173.64601894242784,143.00024591217462,3
243,174.45813193078047,148.65401629637483,3
246,154.7086823951586,166.4314580879473,3
249,172.1865988020151,169.51978318093526,3
252,142.14762289928683,174.7221627550693,3
255,116.11567674904916,169.96715354812662,3
258,142.5527772688301,172.81982557918198,3
261,168.71174964180872,179.70547289585318,3
264,177.46313445747649,169.26247615917876,3
267,179.85896385750289,173.67419932417474,3
270,178.9755441169184,160.44925338338007,3
273,175.96511073567365,145.22253251641592,4
276,178.54610704535176,158.98776228788216,4
279,172.12849432309633,156.06493691272627,4
282,156.07764390317791,173.23624250332293,4
285,139.96120880536577,174.77758985398492,4
288,130.78206000271922,169.89931024371694,4
291,169.2843717658325,174.3130231366304,4
294,177.72909252420504,175.7649614363195,4
297,169.82983070143237,169.2461487968019,4
300,179.89328576063014,141.51551706897897,5
303,176.9098811572047,122.29928239840298,5
306,178.11359124546848,156.52514564623198,5
